"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\competitions\competitions.component.html", "HTML", 0, 0, 65, 2, 19, 86
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\competitions\competitions.component.scss", "SCSS", 0, 41, 0, 0, 9, 50
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\competitions\competitions.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\competitions\competitions.component.ts", "TypeScript", 141, 0, 0, 0, 17, 158
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-best\personal-best.component.html", "HTML", 0, 0, 52, 0, 16, 68
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-best\personal-best.component.scss", "SCSS", 0, 21, 0, 0, 6, 27
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-best\personal-best.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-best\personal-best.component.ts", "TypeScript", 131, 0, 0, 0, 15, 146
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-info\personal-info.component.html", "HTML", 0, 0, 129, 3, 16, 148
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-info\personal-info.component.scss", "SCSS", 0, 206, 0, 6, 32, 244
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-info\personal-info.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-info\personal-info.component.ts", "TypeScript", 146, 0, 0, 0, 18, 164
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-stuff\personal-stuff.component.html", "HTML", 0, 0, 25, 3, 4, 32
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-stuff\personal-stuff.component.scss", "SCSS", 0, 49, 0, 32, 8, 89
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-stuff\personal-stuff.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\Personal\personal-stuff\personal-stuff.component.ts", "TypeScript", 64, 0, 0, 1, 9, 74
"c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\forgetpass\forgetpass.component.html", "HTML", 0, 0, 13, 0, 3, 16
